OrderID,CustomerID,OrderDate,Amount,Status
O001,C001,2026-02-12,150.00,Completed
O002,C001,2026-02-11,75.50,Completed
O003,C002,2026-02-10,200.00,Pending
O004,C003,2026-02-12,50.25,Completed
O005,C004,2026-02-09,250.00,Completed
O006,C005,2026-02-12,125.75,Completed
O007,C006,2026-02-08,300.00,Completed
O008,C007,2026-02-11,85.50,Cancelled
O009,C008,2026-02-10,175.00,Completed
O010,C009,2026-02-12,220.00,Pending
O011,C010,2026-02-09,62.50,Completed
O012,C011,2026-02-12,145.25,Completed
O013,C012,2026-02-07,275.50,Completed
O014,C013,2026-02-11,72.00,Completed
O015,C014,2026-02-10,190.00,Completed
O016,C015,2026-02-12,130.75,Completed
O017,C016,2026-02-08,95.25,Completed
O018,C017,2026-02-11,210.00,Completed
O019,C018,2026-02-10,240.50,Completed
O020,C019,2026-02-12,105.00,Pending
O021,C020,2026-02-09,165.75,Completed
O022,C021,2026-02-12,255.25,Completed
O023,C022,2026-02-11,78.50,Completed
O024,C023,2026-02-10,195.00,Completed
O025,C024,2026-02-12,310.00,Completed
