CustomerID,Name,Segment,Region,Value
C00001,Customer 1,Basic,Southwest,4353
C00002,Customer 2,Standard,West,1801
C00003,Customer 3,Basic,Southwest,4039
C00004,Customer 4,Basic,West,8154
C00005,Customer 5,Standard,Southeast,3907
C00006,Customer 6,Basic,West,9034
C00007,Customer 7,Premium,Southwest,8770
C00008,Customer 8,Basic,Northeast,3603
C00009,Customer 9,Basic,Southwest,6190
C00010,Customer 10,Premium,West,8093
C00011,Customer 11,Basic,Southwest,841
C00012,Customer 12,Premium,Midwest,5697
C00013,Customer 13,Premium,Northeast,5293
C00014,Customer 14,Basic,Southwest,1350
C00015,Customer 15,Premium,Southeast,5747
C00016,Customer 16,Standard,Northeast,5488
C00017,Customer 17,Basic,Southwest,7470
C00018,Customer 18,Premium,Midwest,9096
C00019,Customer 19,Basic,Midwest,799
C00020,Customer 20,Standard,Northeast,3072
C00021,Customer 21,Premium,Northeast,1048
C00022,Customer 22,Basic,West,7793
C00023,Customer 23,Premium,West,6129
C00024,Customer 24,Standard,West,2380
C00025,Customer 25,Standard,Midwest,4785
C00026,Customer 26,Basic,West,8679
C00027,Customer 27,Basic,Southwest,5653
C00028,Customer 28,Standard,Southeast,4704
C00029,Customer 29,Basic,Midwest,7146
C00030,Customer 30,Standard,Southeast,3165
C00031,Customer 31,Premium,West,1364
C00032,Customer 32,Standard,Midwest,1281
C00033,Customer 33,Standard,Southeast,7250
C00034,Customer 34,Premium,Southeast,7025
C00035,Customer 35,Standard,West,3909
C00036,Customer 36,Standard,Northeast,8814
C00037,Customer 37,Premium,Southeast,928
C00038,Customer 38,Standard,West,845
C00039,Customer 39,Premium,Midwest,1679
C00040,Customer 40,Standard,Midwest,4323
C00041,Customer 41,Standard,West,7390
C00042,Customer 42,Premium,Midwest,1111
C00043,Customer 43,Standard,Southeast,904
C00044,Customer 44,Premium,West,4016
C00045,Customer 45,Standard,Southeast,1973
C00046,Customer 46,Basic,Midwest,8798
C00047,Customer 47,Premium,Midwest,893
C00048,Customer 48,Premium,Northeast,5562
C00049,Customer 49,Basic,Southwest,6144
C00050,Customer 50,Basic,West,2030
C00051,Customer 51,Premium,Southwest,8962
C00052,Customer 52,Premium,Southeast,4309
C00053,Customer 53,Premium,Southwest,6758
C00054,Customer 54,Premium,Northeast,1802
C00055,Customer 55,Premium,Northeast,1393
C00056,Customer 56,Standard,Midwest,6185
C00057,Customer 57,Basic,Southwest,2071
C00058,Customer 58,Premium,Northeast,2227
C00059,Customer 59,Premium,Southeast,7785
C00060,Customer 60,Premium,Northeast,5073
C00061,Customer 61,Basic,Midwest,3126
C00062,Customer 62,Basic,Northeast,9529
C00063,Customer 63,Standard,West,743
C00064,Customer 64,Basic,West,662
C00065,Customer 65,Premium,Northeast,5467
C00066,Customer 66,Standard,Southeast,1419
C00067,Customer 67,Basic,Southwest,8051
C00068,Customer 68,Basic,West,3103
C00069,Customer 69,Basic,Southwest,5987
C00070,Customer 70,Standard,Southeast,749
C00071,Customer 71,Premium,Midwest,2516
