OrderID,CustomerID,OrderDate,Amount,Status
O000001,C32541,2026-02-12,70.23,Pending
O000002,C19162,2026-02-11,331.48,Completed
O000003,C30792,2026-02-07,181.55,Pending
O000004,C02963,2026-02-09,410.98,Completed
O000005,C23870,2026-02-10,189.41,Completed
O000006,C41536,2026-02-07,331.2,Cancelled
O000007,C49216,2026-02-08,494.21,Pending
O000008,C37214,2026-02-12,115.78,Completed
O000009,C11945,2026-02-11,177.3,Pending
O000010,C20280,2026-02-12,270.85,Pending
O000011,C26710,2026-02-07,471.63,Pending
O000012,C13858,2026-02-11,161.47,Pending
O000013,C49415,2026-02-09,175.2,Completed
O000014,C24018,2026-02-09,217.72,Pending
O000015,C07359,2026-02-09,411.06,Completed
O000016,C17428,2026-02-06,338.96,Cancelled
O000017,C29342,2026-02-09,115.56,Cancelled
O000018,C17495,2026-02-10,308.43,Cancelled
O000019,C47871,2026-02-11,414.75,Pending
O000020,C13405,2026-02-10,442.66,Cancelled
O000021,C42549,2026-02-07,221.22,Cancelled
O000022,C38958,2026-02-11,328.62,Pending
O000023,C20042,2026-02-12,107.37,Completed
O000024,C30015,2026-02-09,55.66,Pending
O000025,C03637,2026-02-08,244.41,Pending
O000026,C20283,2026-02-11,159.29,Completed
O000027,C00064,2026-02-09,343.06,Completed
O000028,C32646,2026-02-06,222.91,Completed
O000029,C40910,2026-02-05,168.31,Pending
O000030,C05512,2026-02-11,184.68,Completed
O000031,C01886,2026-02-10,415.28,Pending
O000032,C36014,2026-02-12,373.05,Cancelled
O000033,C00318,2026-02-08,470.27,Pending
O000034,C27394,2026-02-12,389.41,Completed
O000035,C31835,2026-02-06,389.19,Cancelled
O000036,C22253,2026-02-10,248.63,Cancelled
O000037,C41236,2026-02-08,229.21,Completed
O000038,C48430,2026-02-05,58.61,Cancelled
O000039,C49407,2026-02-08,355.19,Pending
O000040,C45068,2026-02-10,289.38,Pending
O000041,C10249,2026-02-06,332.14,Cancelled
O000042,C12527,2026-02-12,497.31,Cancelled
O000043,C01465,2026-02-06,121.04,Cancelled
O000044,C20134,2026-02-06,469.72,Completed
O000045,C28042,2026-02-11,385.02,Completed
O000046,C01048,2026-02-08,410.35,Completed
O000047,C02989,2026-02-12,133.47,Completed
O000048,C32791,2026-02-12,203.75,Completed
O000049,C47113,2026-02-06,180.86,Completed
O000050,C27652,2026-02-11,248.8,Pending
O000051,C17669,2026-02-12,272.68,Cancelled
O000052,C39235,2026-02-08,116.32,Completed
O000053,C04973,2026-02-10,451.42,Completed
O000054,C47130,2026-02-09,133.13,Completed
O000055,C22801,2026-02-12,413.33,Completed
O000056,C32510,2026-02-05,435.89,Pending
O000057,C31191,2026-02-07,72.36,Completed
O000058,C17047,2026-02-12,262.67,Completed
O000059,C09198,2026-02-11,356.7,Completed
O000060,C17455,2026-02-06,166.43,Cancelled
O000061,C45414,2026-02-06,77.02,Pending
O000062,C42492,2026-02-09,95.37,Cancelled
O000063,C09049,2026-02-06,286.71,Completed
O000064,C22159,2026-02-06,110.68,Cancelled
O000065,C04880,2026-02-11,83.31,Pending
O000066,C01967,2026-02-06,214.58,Completed
O000067,C41053,2026-02-11,101.69,Pending
O000068,C03954,2026-02-10,451.07,Cancelled
O000069,C24426,2026-02-11,204.72,Cancelled
O000070,C10103,2026-02-07,308.9,Cancelled
O000071,C11472,2026-02-09,279.41,Cancelled
O000072,C32390,2026-02-06,441.7,Cancelled
O000073,C03502,2026-02-12,455.85,Cancelled
O000074,C36542,2026-02-06,307.92,Completed
O000075,C49789,2026-02-05,364.57,Pending
O000076,C36485,2026-02-08,419.36,Pending
O000077,C05133,2026-02-08,410.75,Pending
O000078,C39067,2026-02-08,70.72,Pending
O000079,C01783,2026-02-07,499.96,Cancelled
O000080,C46013,2026-02-08,310.85,Completed
O000081,C06834,2026-02-06,366.1,Pending
O000082,C23331,2026-02-06,442.22,Cancelled
O000083,C21178,2026-02-12,78.96,Pending
O000084,C45602,2026-02-12,278.0,Cancelled
O000085,C38409,2026-02-08,192.5,Cancelled
O000086,C45140,2026-02-11,315.3,Cancelled
O000087,C10177,2026-02-07,150.74,Completed
O000088,C41209,2026-02-11,364.98,Cancelled
O000089,C37261,2026-02-07,389.91,Completed
O000090,C02558,2026-02-06,219.49,Pending
O000091,C43512,2026-02-08,140.42,Completed
O000092,C00138,2026-02-07,411.64,Cancelled
O000093,C11653,2026-02-09,489.66,Pending
O000094,C27774,2026-02-11,166.77,Pending
O000095,C20539,2026-02-07,188.19,Pending
O000096,C11689,2026-02-12,252.54,Pending
O000097,C03149,2026-02-11,439.08,Pending
O000098,C31762,2026-02-11,142.0,Pending
O000099,C41707,2026-02-11,294.42,Cancelled
O000100,C44668,2026-02-06,167.01,Cancelled
O000101,C04584,2026-02-12,257.29,Pending
O000102,C06168,2026-02-06,464.57,Pending
O000103,C35949,2026-02-08,144.74,Completed
O000104,C11080,2026-02-07,250.86,Completed
O000105,C06951,2026-02-06,74.94,Pending
O000106,C41503,2026-02-08,265.25,Completed
O000107,C16075,2026-02-11,408.34,Cancelled
O000108,C00420,2026-02-06,300.34,Cancelled
O000109,C29963,2026-02-10,440.62,Cancelled
O000110,C43377,2026-02-09,379.02,Cancelled
O000111,C45778,2026-02-07,324.74,Completed
O000112,C44734,2026-02-12,491.72,Cancelled
O000113,C05728,2026-02-06,291.77,Cancelled
O000114,C19453,2026-02-06,140.39,Cancelled
O000115,C44913,2026-02-10,132.58,Pending
O000116,C08908,2026-02-09,488.96,Completed
O000117,C00228,2026-02-11,74.7,Completed
O000118,C34938,2026-02-10,434.58,Cancelled
O000119,C42001,2026-02-10,307.07,Cancelled
O000120,C01833,2026-02-06,360.54,Cancelled
O000121,C04723,2026-02-08,478.44,Completed
O000122,C48508,2026-02-09,203.3,Completed
O000123,C20838,2026-02-05,497.48,Cancelled
O000124,C48552,2026-02-07,253.38,Completed
O000125,C34366,2026-02-12,129.26,Cancelled
O000126,C36246,2026-02-12,208.88,Pending
O000127,C04993,2026-02-11,461.51,Pending
O000128,C11463,2026-02-10,257.04,Pending
O000129,C48912,2026-02-05,195.08,Pending
O000130,C21101,2026-02-06,290.7,Pending
O000131,C35091,2026-02-09,373.59,Completed
O000132,C40639,2026-02-07,191.14,Pending
O000133,C10580,2026-02-09,454.33,Completed
O000134,C29076,2026-02-11,223.56,Pending
O000135,C41858,2026-02-09,308.84,Pending
O000136,C43918,2026-02-09,446.83,Cancelled
O000137,C48812,2026-02-07,159.91,Cancelled
O000138,C47986,2026-02-05,243.1,Cancelled
O000139,C01729,2026-02-07,58.95,Pending
O000140,C38317,2026-02-08,177.89,Cancelled
O000141,C03016,2026-02-09,145.29,Cancelled
O000142,C16088,2026-02-09,190.86,Cancelled
O000143,C00652,2026-02-07,151.25,Completed
O000144,C48170,2026-02-09,128.43,Pending
O000145,C38150,2026-02-09,398.62,Cancelled
O000146,C23821,2026-02-07,246.28,Completed
O000147,C01403,2026-02-07,299.47,Completed
O000148,C30073,2026-02-09,82.07,Completed
O000149,C41772,2026-02-08,434.05,Pending
O000150,C16768,2026-02-06,133.34,Cancelled
O000151,C01731,2026-02-11,288.52,Cancelled
O000152,C26826,2026-02-12,469.1,Pending
O000153,C24316,2026-02-05,325.53,Cancelled
O000154,C46053,2026-02-11,89.46,Completed
O000155,C43893,2026-02-12,182.58,Pending
O000156,C37718,2026-02-12,283.27,Pending
O000157,C30759,2026-02-09,158.17,Completed
O000158,C23192,2026-02-09,92.25,Pending
O000159,C40864,2026-02-10,375.83,Pending
O000160,C31780,2026-02-07,54.05,Pending
O000161,C42200,2026-02-07,467.43,Pending
O000162,C21377,2026-02-10,346.67,Cancelled
O000163,C23984,2026-02-05,189.4,Pending
O000164,C06297,2026-02-07,170.23,Cancelled
O000165,C06807,2026-02-08,488.92,Completed
O000166,C22739,2026-02-08,308.12,Completed
O000167,C18035,2026-02-08,375.29,Completed
O000168,C21377,2026-02-10,81.7,Pending
O000169,C15416,2026-02-06,264.89,Completed
